"","Order","BinPerm","CatPerm","ContPerm","BinRank","CatRank","ContRank","Bin%","Cat%","Cont%","BinRank%","CatRank%","ContRank%"
"ESF1",216,"8.09e-01","9.09e-01","7.69e-01","10649","14823","10696","0.711","0.915","0.769","0.657","0.914","0.769"
"SLC8B1",217,"8.78e-01","2.2e-01","3.66e-01","12123","5074","5176","0.809","0.313","0.372","0.748","0.313","0.372"
"SIRT4",218,"1.23e-01","2.85e-01","8.64e-01","3350","6124","12040","0.224","0.378","0.865","0.207","0.378","0.865"
"TRMT6",219,"1.98e-01","4.21e-01","6.84e-01","4580","8182","9557","0.306","0.505","0.687","0.283","0.505","0.687"
"HAUS5",220,"8.15e-01","1.43e-01","6.64e-01","10767","3659","9268","0.718","0.226","0.666","0.664","0.226","0.666"
"UQCRC1",221,"2.01e-01","7.23e-01","6.17e-01","4626","12245","8601","0.309","0.756","0.618","0.285","0.755","0.618"
"GMIP",222,"3.51e-02","5.32e-02","8.48e-01","1011","1673","11808","0.0675","0.103","0.849","0.0624","0.103","0.849"
"LAG3",223,"9.41e-01","6.94e-01","5.99e-01","13628","11883","8383","0.909","0.733","0.603","0.841","0.733","0.603"
"OTUB2",224,"1.78e-01","9.5e-01","7.18e-01","4299","15409","10009","0.287","0.951","0.719","0.265","0.951","0.719"
"TFAP4",225,"7e-01","8e-01","2.65e-01","9054","13314","3779","0.604","0.822","0.272","0.559","0.821","0.272"
"PDCD7",226,"9.74e-01","2.4e-01","5.97e-01","14382","5425","8347","0.96","0.335","0.6","0.887","0.335","0.6"
"SPG21",227,"2.91e-01","2.02e-01","2.55e-01","5586","4763","3639","0.373","0.294","0.262","0.345","0.294","0.262"
"CHRD",228,"9.53e-01","2.37e-01","5.83e-01","13905","5366","8151","0.928","0.331","0.586","0.858","0.331","0.586"
"GNPTG",229,"5.41e-01","2.46e-01","3.1e-01","7562","5526","4391","0.505","0.341","0.316","0.467","0.341","0.316"
"EFNB1",230,"5.73e-01","9.51e-01","2.53e-01","7805","15434","3616","0.521","0.953","0.26","0.482","0.952","0.26"
"GLG1",231,"1.29e-01","4.2e-02","7.77e-02","3496","1344","1224","0.233","0.083","0.088","0.216","0.0829","0.088"
"DLL3",232,"8.12e-01","1.08e-01","9.99e-01","10718","2930","13898","0.715","0.181","0.999","0.661","0.181","0.999"
"NAT14",233,"2.98e-01","9.25e-02","6.51e-01","5644","2566","9074","0.377","0.158","0.652","0.348","0.158","0.652"
"AASDH",234,"9.91e-01","8.81e-01","8.12e-01","14734","14470","11267","0.983","0.893","0.81","0.909","0.893","0.81"
"DLD",235,"8.79e-01","2.25e-01","2.21e-01","12136","5154","3169","0.81","0.318","0.228","0.749","0.318","0.228"
"ABCC6",236,"8.59e-01","2.9e-01","5.38e-01","11693","6209","7517","0.78","0.383","0.54","0.721","0.383","0.54"
"CMTM6",237,"8.17e-01","4.1e-01","4.84e-01","10804","8028","6762","0.721","0.495","0.486","0.667","0.495","0.486"
"APOH",238,"7.93e-01","3.93e-01","6.77e-01","10357","7758","9452","0.691","0.479","0.679","0.639","0.479","0.679"
"SPAG7",239,"7.01e-01","5.42e-01","4.84e-01","9061","9928","6763","0.605","0.613","0.486","0.559","0.612","0.486"
"RGS17",240,"8.31e-02","5.19e-01","8.18e-01","2457","9614","11362","0.164","0.593","0.817","0.152","0.593","0.817"
"CCDC80",241,"4.76e-02","6.74e-02","3.15e-01","1434","2000","4464","0.0957","0.123","0.321","0.0885","0.123","0.321"
"HAUS4",242,"2.1e-01","7.86e-01","3.75e-01","4744","13106","5311","0.317","0.809","0.382","0.293","0.809","0.382"
"CEBPE",243,"3.09e-01","7.98e-01","8.85e-01","5744","13278","12313","0.383","0.82","0.885","0.354","0.819","0.885"
"OSGEP",244,"8.78e-01","4.98e-01","3.68e-01","12103","9319","5201","0.808","0.575","0.374","0.747","0.575","0.374"
"TGM1",245,"6.27e-02","8.41e-02","5.29e-01","1903","2355","7413","0.127","0.145","0.533","0.117","0.145","0.533"
"TEKT2",246,"1.95e-02","1.3e-02","9.45e-01","476","524","13148","0.0318","0.0323","0.945","0.0294","0.0323","0.945"
"XYLB",247,"6.21e-01","9.22e-01","6.39e-01","8223","14998","8909","0.549","0.926","0.64","0.507","0.925","0.64"
"ADH7",248,"NA","2.34e-01","NA","15004","5315","NA","NA","0.328","NA","0.926","0.328","NA"
"KRT23",249,"2.54e-01","2.87e-01","1.73e-01","5233","6166","2511","0.349","0.381","0.18","0.323","0.38","0.18"
"CDC6",250,"8.33e-01","1.02e-01","1.94e-01","11109","2784","2817","0.741","0.172","0.202","0.685","0.172","0.202"
"AAAS",251,"7.32e-03","1.25e-01","4.96e-01","84","3286","6951","0.00561","0.203","0.5","0.00518","0.203","0.5"
"CBX5",252,"NA","5.08e-02","NA","15005","1614","NA","NA","0.0996","NA","0.926","0.0996","NA"
"KLHL20",253,"NA","9.18e-01","NA","15006","14953","NA","NA","0.923","NA","0.926","0.923","NA"
"FMO2",254,"8.06e-01","3.63e-01","9.14e-01","10600","7319","12727","0.707","0.452","0.915","0.654","0.452","0.915"
"RAB26",255,"7.68e-02","1.45e-01","9.72e-01","2283","3694","13529","0.152","0.228","0.973","0.141","0.228","0.972"
"PSMD5",256,"5.37e-01","6.19e-01","3.73e-01","7521","10933","5285","0.502","0.675","0.38","0.464","0.675","0.38"
"NANS",257,"9.58e-01","7.41e-01","2.97e-01","14025","12483","4198","0.936","0.77","0.302","0.865","0.77","0.302"
"SEMA4G",258,"1.96e-01","5.82e-01","3.56e-01","4552","10469","5037","0.304","0.646","0.362","0.281","0.646","0.362"
"MAPK13",259,"6.36e-01","3e-01","6.02e-02","8386","6366","955","0.56","0.393","0.0686","0.517","0.393","0.0686"
"TMEM14A",260,"6.24e-01","8.57e-02","5.28e-01","8253","2392","7389","0.551","0.148","0.531","0.509","0.148","0.531"
"PRRT1",261,"1.17e-01","4.3e-01","1.34e-01","3226","8299","1969","0.215","0.512","0.142","0.199","0.512","0.142"
"ZNF184",262,"5.19e-02","8.71e-01","4.05e-01","1555","14324","5684","0.104","0.884","0.409","0.0959","0.884","0.409"
"VCL",263,"3e-01","7.44e-02","5.11e-01","5661","2141","7160","0.378","0.132","0.515","0.349","0.132","0.515"
"SIRT1",264,"9.55e-02","6.05e-02","3.22e-01","2765","1839","4549","0.185","0.114","0.327","0.171","0.113","0.327"
"TGFBR3",265,"4.58e-01","9.5e-01","3.76e-01","6939","15415","5335","0.463","0.951","0.383","0.428","0.951","0.383"
"TMED1",266,"7.6e-01","7.35e-01","3.13e-02","9832","12404","537","0.656","0.766","0.0386","0.607","0.765","0.0386"
"OCEL1",267,"2.57e-01","1.16e-01","3.58e-01","5274","3107","5065","0.352","0.192","0.364","0.325","0.192","0.364"
"PSMD8",268,"2.19e-01","8.06e-01","8.86e-01","4857","13396","12333","0.324","0.827","0.887","0.3","0.826","0.887"
"STX1B",269,"NA","6.7e-02","NA","15007","1992","NA","NA","0.123","NA","0.926","0.123","NA"
"EFNA2",270,"9.93e-01","3.53e-01","NA","14764","7171","NA","0.985","0.443","NA","0.911","0.442","NA"
"FGF22",271,"4.15e-01","2.46e-01","6.04e-01","6588","5529","8437","0.44","0.341","0.607","0.406","0.341","0.606"
"MARCHF2",272,"2.72e-01","5.81e-01","3.97e-01","5402","10455","5585","0.36","0.645","0.401","0.333","0.645","0.401"
"NDUFB7",273,"3.92e-02","7.2e-02","6.5e-01","1162","2099","9065","0.0775","0.13","0.652","0.0717","0.129","0.652"
"TIMM13",274,"NA","2.15e-01","NA","15008","4978","NA","NA","0.307","NA","0.926","0.307","NA"
"CDC34",275,"NA","7.28e-01","NA","15009","12321","NA","NA","0.76","NA","0.926","0.76","NA"
"GADD45B",276,"NA","5.28e-01","NA","15010","9734","NA","NA","0.601","NA","0.926","0.601","NA"
"MAPK12",277,"1.98e-01","8.24e-01","3e-01","4586","13676","4246","0.306","0.844","0.305","0.283","0.844","0.305"
"SERPIND1",278,"8.13e-01","5.15e-01","2.84e-01","10730","9561","4026","0.716","0.59","0.289","0.662","0.59","0.289"
"SNAP29",279,"3.97e-01","9.57e-01","1.6e-01","6466","15536","2328","0.431","0.959","0.167","0.399","0.958","0.167"
"THAP7",280,"2.79e-01","4.67e-02","9e-01","5452","1496","12533","0.364","0.0923","0.901","0.336","0.0923","0.901"
"MMP11",281,"1.07e-01","1.49e-01","3.11e-02","3017","3783","536","0.201","0.233","0.0385","0.186","0.233","0.0385"
"MIF",282,"4.67e-01","9.53e-02","3.91e-03","7009","2630","119","0.468","0.162","0.00877","0.432","0.162","0.00855"
"SF3A1",283,"9.88e-01","6.92e-01","2.7e-01","14673","11862","3860","0.979","0.732","0.277","0.905","0.732","0.277"
"USP18",284,"8.52e-01","8.58e-01","9.82e-01","11527","14158","13671","0.769","0.874","0.983","0.711","0.873","0.983"
"SEC14L3",285,"8.35e-01","4.71e-01","6.71e-01","11156","8916","9374","0.744","0.55","0.674","0.688","0.55","0.674"
"SNRPD3",286,"NA","3.97e-01","NA","15011","7834","NA","NA","0.484","NA","0.926","0.483","NA"
"MAPK1",287,"NA","6.91e-01","NA","15012","11847","NA","NA","0.731","NA","0.926","0.731","NA"
"TCN2",288,"9.85e-01","6.68e-01","6.36e-01","14626","11565","8862","0.976","0.714","0.637","0.902","0.713","0.637"
"CRYBB3",289,"9.18e-01","6.67e-01","4.07e-01","13064","11546","5729","0.872","0.713","0.412","0.806","0.712","0.412"
"SLC25A1",290,"6.66e-01","9.28e-01","1.89e-01","8657","15098","2733","0.578","0.932","0.196","0.534","0.931","0.196"
"PLA2G3",291,"8.65e-02","5.95e-01","6.85e-01","2539","10627","9573","0.169","0.656","0.688","0.157","0.656","0.688"
"LGALS2",292,"8.54e-02","6.66e-01","8.11e-01","2510","11526","11261","0.167","0.711","0.809","0.155","0.711","0.809"
"PDXP",293,"4.84e-01","6.47e-01","1.39e-01","7140","11281","2047","0.476","0.696","0.147","0.44","0.696","0.147"
"ASPHD2",294,"7.06e-01","7.66e-01","3.84e-01","9107","12832","5428","0.608","0.792","0.39","0.562","0.792","0.39"
"LGALS1",295,"7.38e-01","2.91e-01","3.32e-01","9510","6227","4702","0.635","0.384","0.338","0.587","0.384","0.338"
"PIK3IP1",296,"8.04e-02","8.46e-02","9.44e-01","2385","2361","13131","0.159","0.146","0.944","0.147","0.146","0.944"
"SRRD",297,"9.78e-01","5.17e-01","3.13e-01","14498","9578","4435","0.967","0.591","0.319","0.894","0.591","0.319"
"ANKRD54",298,"1.26e-01","6.94e-01","1.84e-01","3418","11892","2661","0.228","0.734","0.191","0.211","0.734","0.191"
"MICALL1",299,"7.26e-01","5.92e-01","1.13e-01","9362","10588","1703","0.625","0.653","0.122","0.578","0.653","0.122"
"CENPM",300,"8.85e-01","7.29e-01","7.88e-01","12283","12329","10952","0.82","0.761","0.787","0.758","0.761","0.787"
"DMC1",301,"6.5e-01","1.81e-01","9.27e-01","8515","4401","12933","0.568","0.272","0.93","0.525","0.272","0.93"
"HSCB",302,"1.07e-01","3.29e-01","6.8e-01","3012","6814","9486","0.201","0.421","0.682","0.186","0.42","0.682"
"CBY1",303,"8.83e-01","3.16e-01","2.16e-01","12239","6608","3093","0.817","0.408","0.222","0.755","0.408","0.222"
"TOMM22",304,"8.11e-01","6.47e-01","8.29e-01","10693","11284","11535","0.714","0.696","0.829","0.66","0.696","0.829"
"RSPH14",305,"3.92e-02","1.46e-03","6.85e-01","1160","90","9564","0.0774","0.00555","0.687","0.0716","0.00555","0.687"
"RTCB",306,"9.25e-01","1.27e-01","NA","13268","3341","NA","0.885","0.206","NA","0.819","0.206","NA"
"JOSD1",307,"NA","3.8e-01","6.68e-01","15013","7590","9329","NA","0.468","0.671","0.926","0.468","0.671"
"GTPBP1",308,"9.63e-01","8.38e-01","8.35e-01","14128","13871","11627","0.943","0.856","0.836","0.872","0.856","0.836"
"PPP6R2",309,"6.57e-01","9.39e-01","6.36e-01","8591","15237","8855","0.573","0.94","0.637","0.53","0.94","0.637"
"DNAL4",310,"NA","5.7e-01","NA","15014","10291","NA","NA","0.635","NA","0.926","0.635","NA"
"C22orf31",311,"8.54e-01","5.58e-01","9.75e-01","11570","10134","13579","0.772","0.625","0.976","0.714","0.625","0.976"
"MIOX",312,"3.97e-01","1.03e-02","5.5e-02","6472","437","897","0.432","0.027","0.0645","0.399","0.027","0.0645"
"RHBDD3",313,"2.25e-01","2.12e-01","9.82e-01","4921","4934","13668","0.328","0.305","0.982","0.304","0.304","0.982"
"RASL10A",314,"7.44e-01","9.41e-01","2.35e-01","9610","15269","3366","0.641","0.942","0.242","0.593","0.942","0.242"
"HMGXB4",315,"2.34e-01","7.95e-01","2.73e-01","5028","13234","3903","0.336","0.817","0.281","0.31","0.816","0.281"
"BIK",316,"4.33e-01","6.34e-02","6.67e-01","6760","1910","9315","0.451","0.118","0.67","0.417","0.118","0.67"
"HMOX1",317,"9.99e-01","8.57e-01","2.55e-01","14902","14147","3645","0.994","0.873","0.262","0.919","0.873","0.262"
"NIPSNAP1",318,"7.22e-01","1.41e-02","8.58e-02","9305","556","1328","0.621","0.0343","0.0955","0.574","0.0343","0.0955"
"MCM5",319,"1.74e-01","9.8e-01","1e+00","4242","15896","13910","0.283","0.981","1","0.262","0.981","1"
"ARSA",320,"8.92e-01","9e-02","8.56e-01","12457","2493","11928","0.831","0.154","0.857","0.769","0.154","0.857"
"RASD2",321,"9.13e-01","7.69e-01","3.44e-01","12959","12869","4859","0.865","0.794","0.349","0.799","0.794","0.349"
"TTLL12",322,"2.61e-01","3.97e-01","9.96e-01","5304","7826","13857","0.354","0.483","0.996","0.327","0.483","0.996"
"CBX7",323,"4.95e-01","3.33e-01","7.99e-01","7205","6873","11106","0.481","0.424","0.798","0.445","0.424","0.798"
"CABP7",324,"NA","8.97e-01","NA","15015","14661","NA","NA","0.905","NA","0.926","0.904","NA"
"RPL3",325,"1.64e-01","3.75e-01","3.81e-01","4088","7502","5395","0.273","0.463","0.388","0.252","0.463","0.388"
"TAB1",326,"7.63e-01","4.86e-02","6.23e-01","9877","1549","8699","0.659","0.0956","0.625","0.609","0.0956","0.625"
"PNPLA5",327,"3.27e-01","8.04e-01","NA","5904","13359","NA","0.394","0.825","NA","0.364","0.824","NA"
"MYH9",328,"8.55e-01","2.02e-01","5.2e-01","11590","4756","7285","0.773","0.294","0.524","0.715","0.293","0.524"
"TXN2",329,"6.41e-01","7.1e-01","1.69e-01","8429","12095","2442","0.562","0.747","0.176","0.52","0.746","0.176"
"EIF3D",330,"5.91e-01","3.31e-01","NA","7954","6847","NA","0.531","0.423","NA","0.491","0.422","NA"
"PVALB",331,"8.6e-01","7.25e-01","8.25e-01","11718","12268","11479","0.782","0.757","0.825","0.723","0.757","0.825"
"UPK3A",332,"7.23e-01","7.47e-01","1.57e-01","9324","12569","2293","0.622","0.776","0.165","0.575","0.775","0.165"
"FAM118A",333,"9.45e-01","9.6e-01","6.8e-01","13704","15579","9491","0.914","0.962","0.682","0.845","0.961","0.682"
"ST13",334,"8.08e-01","8.33e-02","2.93e-01","10631","2335","4147","0.709","0.144","0.298","0.656","0.144","0.298"
"IL2RB",335,"8.26e-01","9.71e-01","2.37e-01","10988","15752","3390","0.733","0.972","0.244","0.678","0.972","0.244"
"RBX1",336,"NA","4.76e-02","NA","15016","1520","NA","NA","0.0938","NA","0.926","0.0938","NA"
"L3MBTL2",337,"8.73e-01","3.71e-01","7.8e-01","11985","7452","10849","0.8","0.46","0.78","0.739","0.46","0.78"
"CHADL",338,"9.94e-01","4.2e-01","2.36e-01","14790","8172","3379","0.987","0.504","0.243","0.912","0.504","0.243"
"PHF5A",339,"NA","3.07e-01","NA","15017","6489","NA","NA","0.401","NA","0.926","0.4","NA"
"PMM1",340,"6.48e-01","1.61e-02","3.57e-01","8496","621","5046","0.567","0.0383","0.363","0.524","0.0383","0.363"
"CERK",341,"6.88e-01","9.07e-01","7.78e-01","8883","14803","10827","0.593","0.914","0.778","0.548","0.913","0.778"
"ZBED4",342,"6.88e-01","3.91e-01","NA","8881","7732","NA","0.593","0.477","NA","0.548","0.477","NA"
"HDAC10",343,"9.45e-01","9.86e-01","4.42e-01","13707","15975","6203","0.915","0.986","0.446","0.846","0.986","0.446"
"RIPK3",344,"8.55e-01","7.04e-01","7.87e-01","11598","12015","10929","0.774","0.742","0.786","0.716","0.741","0.786"
"PAPOLA",345,"9.98e-01","6.89e-01","9.69e-02","14886","11823","1491","0.993","0.73","0.107","0.918","0.729","0.107"
"HSP90AA1",346,"1.87e-01","3.72e-01","3.32e-01","4417","7459","4703","0.295","0.46","0.338","0.273","0.46","0.338"
"SNAPC1",347,"9.2e-01","3.28e-01","8.96e-01","13115","6800","12481","0.875","0.42","0.897","0.809","0.42","0.897"
"SUPT16H",348,"NA","6.23e-01","9.04e-01","15018","10989","12589","NA","0.678","0.905","0.927","0.678","0.905"
"FKBP3",349,"7.21e-01","5.83e-01","1.45e-01","9293","10473","2109","0.62","0.646","0.152","0.573","0.646","0.152"
"COCH",350,"9.81e-01","2.62e-01","5e-02","14559","5774","808","0.972","0.356","0.0581","0.898","0.356","0.0581"
"AP4S1",351,"8.76e-02","6.6e-01","3.86e-01","2569","11458","5452","0.171","0.707","0.392","0.158","0.707","0.392"
"POLE2",352,"6.74e-01","1.12e-01","6.61e-01","8750","3015","9230","0.584","0.186","0.663","0.54","0.186","0.663"
"SOS2",353,"6.5e-01","5.07e-01","9.17e-01","8521","9442","12789","0.569","0.583","0.919","0.526","0.583","0.919"
"PYGL",354,"9.81e-01","2.16e-01","5.49e-02","14549","4988","894","0.971","0.308","0.0643","0.898","0.308","0.0643"
"GNPNAT1",355,"NA","3.8e-01","5.65e-01","15019","7585","7882","NA","0.468","0.567","0.927","0.468","0.567"
"CGRRF1",356,"9.53e-01","7.77e-01","2.91e-01","13904","12972","4121","0.928","0.801","0.296","0.858","0.8","0.296"
"ATP6V1D",357,"1.39e-01","6.69e-01","NA","3664","11576","NA","0.244","0.714","NA","0.226","0.714","NA"
"CCDC198",358,"7.65e-01","6.53e-01","9.49e-01","9912","11351","13212","0.661","0.701","0.95","0.612","0.7","0.95"
"PLEK2",359,"8.53e-01","9.12e-01","2.4e-01","11560","14872","3423","0.771","0.918","0.246","0.713","0.918","0.246"
"PIGH",360,"8.99e-01","2.75e-01","6.38e-01","12629","5968","8894","0.843","0.368","0.639","0.779","0.368","0.639"
"PSMA3",361,"NA","3.74e-01","NA","15020","7496","NA","NA","0.463","NA","0.927","0.462","NA"
"TMED8",362,"2.42e-01","4.07e-01","2.11e-01","5099","7980","3026","0.34","0.493","0.218","0.315","0.492","0.218"
"AHSA1",363,"1.12e-01","3.12e-02","9.05e-01","3118","1055","12597","0.208","0.0651","0.905","0.192","0.0651","0.905"
"SPTLC2",364,"2.13e-01","4.37e-01","5.03e-01","4781","8397","7041","0.319","0.518","0.506","0.295","0.518","0.506"
"RIN3",365,"7.47e-01","1.2e-01","8.96e-01","9650","3192","12482","0.644","0.197","0.897","0.595","0.197","0.897"
"ALKBH1",366,"7.17e-01","1.94e-01","9.87e-01","9257","4605","13737","0.618","0.284","0.987","0.571","0.284","0.987"
"DHRS7",367,"2.76e-01","3.34e-02","4.86e-01","5431","1111","6780","0.362","0.0686","0.487","0.335","0.0685","0.487"
"SIX4",368,"1.49e-01","8.87e-02","8.1e-01","3851","2462","11246","0.257","0.152","0.808","0.238","0.152","0.808"
"SLC10A1",369,"4.51e-02","2.03e-02","3.48e-01","1349","746","4911","0.09","0.046","0.353","0.0832","0.046","0.353"
"EIF5",370,"3.18e-01","5.74e-01","3.93e-01","5835","10346","5530","0.389","0.639","0.397","0.36","0.638","0.397"
"ZFYVE21",371,"9.97e-01","4.69e-01","6.1e-01","14856","8878","8513","0.991","0.548","0.612","0.917","0.548","0.612"
"BDKRB1",372,"2.86e-02","2.85e-03","1.8e-01","800","165","2611","0.0534","0.0102","0.188","0.0494","0.0102","0.188"
"VRK1",373,"3.86e-01","2.66e-01","2.53e-01","6388","5823","3614","0.426","0.359","0.26","0.394","0.359","0.26"
"PABPN1",374,"NA","3.97e-01","NA","15021","7827","NA","NA","0.483","NA","0.927","0.483","NA"
"EFS",375,"1.26e-01","9.07e-01","6.9e-01","3414","14793","9632","0.228","0.913","0.692","0.211","0.913","0.692"
"CINP",376,"6.56e-01","6.56e-01","1.93e-01","8569","11398","2794","0.572","0.703","0.201","0.529","0.703","0.201"
"PCK2",377,"6.29e-02","8.79e-02","5.1e-02","1908","2442","825","0.127","0.151","0.0593","0.118","0.151","0.0593"
"NFKBIA",378,"8.78e-01","3.12e-01","6.68e-01","12101","6548","9319","0.807","0.404","0.67","0.747","0.404","0.67"
"EMC9",379,"5.18e-01","9.93e-01","3.23e-01","7391","16097","4567","0.493","0.994","0.328","0.456","0.993","0.328"
"BRMS1L",380,"NA","4.5e-01","NA","15022","8605","NA","NA","0.531","NA","0.927","0.531","NA"
"PNN",381,"9.14e-01","1.13e-01","5.81e-01","12983","3043","8117","0.866","0.188","0.583","0.801","0.188","0.583"
"RABGGTA",382,"4.55e-01","5.18e-01","5.57e-01","6919","9599","7777","0.462","0.592","0.559","0.427","0.592","0.559"
"CYP24A1",383,"2.21e-01","1.99e-01","3.15e-02","4868","4711","541","0.325","0.291","0.0389","0.3","0.291","0.0389"
"ZFP64",384,"2.27e-01","3.54e-01","6.71e-01","4946","7187","9375","0.33","0.444","0.674","0.305","0.443","0.674"
"PYGB",385,"9.48e-01","9.33e-01","4.38e-01","13784","15161","6149","0.92","0.936","0.442","0.85","0.935","0.442"
"PROCR",386,"8.69e-01","2.8e-01","4e-01","11900","6052","5620","0.794","0.374","0.404","0.734","0.373","0.404"
"MYBL2",387,"4.34e-02","3.5e-02","5.39e-01","1288","1147","7531","0.0859","0.0708","0.541","0.0795","0.0708","0.541"
"R3HDML",388,"1.33e-01","8.86e-01","1.93e-01","3559","14526","2790","0.237","0.897","0.201","0.22","0.896","0.201"
"PABPC1L",389,"3.01e-01","9.86e-01","6.65e-01","5669","15974","9282","0.378","0.986","0.667","0.35","0.986","0.667"
"SALL4",390,"6.72e-01","7.75e-01","6.38e-01","8713","12950","8891","0.581","0.799","0.639","0.538","0.799","0.639"
"CSTF1",391,"NA","3.83e-01","NA","15023","7641","NA","NA","0.472","NA","0.927","0.471","NA"
"TPD52L2",392,"7.6e-01","8.9e-01","4.4e-02","9830","14576","731","0.656","0.9","0.0525","0.606","0.899","0.0525"
"CTSZ",393,"9.95e-01","2.3e-01","6.62e-01","14809","5256","9236","0.988","0.324","0.664","0.914","0.324","0.664"
"TUBB1",394,"5.3e-02","1.05e-01","3.13e-01","1593","2883","4431","0.106","0.178","0.319","0.0983","0.178","0.319"
"SLCO4A1",395,"3.62e-02","7.05e-02","8.04e-01","1051","2065","11170","0.0701","0.127","0.803","0.0648","0.127","0.803"
"UBOX5",396,"4.23e-01","3.84e-01","8.55e-01","6662","7653","11908","0.445","0.472","0.856","0.411","0.472","0.856"
"EEF1A2",397,"NA","2.52e-01","NA","15024","5618","NA","NA","0.347","NA","0.927","0.347","NA"
"SRMS",398,"2.29e-01","1.05e-01","NA","4974","2872","NA","0.332","0.177","NA","0.307","0.177","NA"
"C20orf27",399,"8.36e-01","3.88e-01","6.63e-01","11171","7701","9254","0.745","0.475","0.665","0.689","0.475","0.665"
"SLC52A3",400,"4.34e-01","5.94e-01","3.79e-01","6771","10608","5369","0.452","0.655","0.386","0.418","0.654","0.386"
"RSPO4",401,"7.17e-01","1.03e-01","2.86e-01","9247","2818","4062","0.617","0.174","0.292","0.57","0.174","0.292"
"PROKR2",402,"2.42e-01","1.07e-01","4.44e-01","5095","2915","6230","0.34","0.18","0.448","0.314","0.18","0.448"
